"codice_istat","denominazione_ita","cap","sigla_provincia","denominazione_provincia","denominazione_regione","lat","lon","superficie_kmq","punti_di_misura"
6028,"Cantalupo Ligure",15060,"AL","Alessandria","Piemonte",44.7189409,9.0443333,24.3352,"SMP3495qn"
6068,"Felizzano",15023,"AL","Alessandria","Piemonte",44.8980383,8.4358404,25.4219,"SMP5376rh"
6076,"Fubine Monferrato",15043,"AL","Alessandria","Piemonte",44.9655413,8.4255193,25.0467,"SMP9979vs"
6085,"Grondona",15060,"AL","Alessandria","Piemonte",44.6963933,8.9664722,26.2349,"SMP3453cp"
6110,"Morbello",15010,"AL","Alessandria","Piemonte",44.6034876,8.5099954,24.1045,"SMP0117os"
6169,"Tagliolo Monferrato",15070,"AL","Alessandria","Piemonte",44.6390486,8.6683012,26.2577,"SMP5050kx"
6192,"Alluvioni Piovera",15047,"AL","Alessandria","Piemonte",44.9953873,8.7725996,24.2632,"SMP3398gt"
6044,"Cassinelle",15070,"AL","Alessandria","Piemonte",44.6067792,8.5604511,23.711,"SMP4660rt"
6087,"Isola Sant'Antonio",15050,"AL","Alessandria","Piemonte",45.0308383,8.8503817,23.7039,"SMP5131hb"
6091,"Masio",15024,"AL","Alessandria","Piemonte",44.8692286,8.4081076,22.6788,"SMP0220ad"
6102,"Montacuto",15050,"AL","Alessandria","Piemonte",44.766756,9.1067452,23.5259,"SMP7798qj"
6115,"Occimiano",15040,"AL","Alessandria","Piemonte",45.0601811,8.506672,22.3603,"SMP7731on"
6163,"Solero",15029,"AL","Alessandria","Piemonte",44.9197341,8.5076642,22.6362,"SMP0761mu"
6002,"Albera Ligure",15060,"AL","Alessandria","Piemonte",44.7030063,9.0649073,21.2242,"SMP2384xz"
6079,"Garbagna",15050,"AL","Alessandria","Piemonte",44.7809161,8.9990718,20.507,"SMP1787gf"
6092,"Melazzo",15010,"AL","Alessandria","Piemonte",44.643939,8.4269041,19.599,"SMP7131ob"
6097,"Mombello Monferrato",15020,"AL","Alessandria","Piemonte",45.1330223,8.2509152,19.6127,"SMP4851ch"
6146,"Roccaforte Ligure",15060,"AL","Alessandria","Piemonte",44.6777279,9.0277673,20.5942,"SMP8229ru"
6017,"Bistagno",15012,"AL","Alessandria","Piemonte",44.6619116,8.3685932,17.702,"SMP2700no"
6024,"Brignano-Frascata",15050,"AL","Alessandria","Piemonte",44.8119803,9.040834,17.5082,"SMP9862gr"
6027,"Camino",15020,"AL","Alessandria","Piemonte",45.1622111,8.2869967,18.4237,"SMP7609qf"
6059,"Cerrina Monferrato",15020,"AL","Alessandria","Piemonte",45.1202094,8.2151674,17.4231,"SMP5290mx"
6066,"Dernice",15056,"AL","Alessandria","Piemonte",44.767266,9.0498189,18.1871,"SMP2096tn"
6069,"Fraconalto",15060,"AL","Alessandria","Piemonte",44.5921246,8.8779788,17.6406,"SMP1904dp"
6077,"Gabiano",15020,"AL","Alessandria","Piemonte",45.1588575,8.1928585,17.8001,"SMP2328mz"
6083,"Gremiasco",15056,"AL","Alessandria","Piemonte",44.7970616,9.104693,17.3207,"SMP1813bf"
